ISIC_0012086,0.0812570652,0.0926847370
ISIC_0012092,0.0747686006,0.0290111172
ISIC_0012095,0.0992065252,0.0178764075
ISIC_0012134,0.1018465441,0.4001661409
ISIC_0012136,0.1676613138,0.2347900000
ISIC_0012147,0.0820006188,0.0466852926
ISIC_0012149,0.0805346870,0.0870923230
ISIC_0012152,0.1201689094,0.0658000570
ISIC_0012178,0.1375678834,0.1336602866
ISIC_0012199,0.2945245444,0.1429177136
ISIC_0012207,0.1044334219,0.1280863537
ISIC_0012215,0.0991195533,0.3771302421
ISIC_0012216,0.1212544663,0.0974656123
ISIC_0012223,0.1623491338,0.1239085622
ISIC_0012240,0.1735090215,0.2589994133
ISIC_0012248,0.3416600009,0.1635010123
ISIC_0012258,0.1000365090,0.2577837376
ISIC_0012265,0.2714669443,0.1314722343
ISIC_0012266,0.2139943882,0.1250786789
ISIC_0012272,0.0422065750,0.2152360520
ISIC_0012273,0.2398602411,0.2784357629
ISIC_0012314,0.1248293301,0.1999398497
ISIC_0012323,0.1253016824,0.3126408857
ISIC_0012330,0.1788039942,0.1867346190
ISIC_0012356,0.0920678048,0.2627854557
ISIC_0012357,0.1983124645,0.0356346688
ISIC_0012358,0.0211509944,0.5356048590
ISIC_0012364,0.0766906206,0.3434910971
ISIC_0012369,0.2343642170,0.0388638715
ISIC_0012372,0.0733611142,0.4901300643
ISIC_0012375,0.0393566970,0.3588807138
ISIC_0012387,0.1075651728,0.3660719864
ISIC_0012388,0.0666520176,0.4456317948
ISIC_0012395,0.2108529264,0.0320651310
ISIC_0012414,0.2383520014,0.1773572989
ISIC_0012425,0.0638714949,0.0698614703
ISIC_0012428,0.0768417201,0.0946127863
ISIC_0012432,0.0977131763,0.1315302126
ISIC_0012447,0.1227620805,0.2196668210
ISIC_0012448,0.1269129314,0.2310616513
ISIC_0012484,0.1189483052,0.3149983802
ISIC_0012493,0.0892193352,0.0460760272
ISIC_0012510,0.1431961160,0.1659202306
ISIC_0012522,0.0940984788,0.2705398895
ISIC_0012537,0.0764169726,0.0858740995
ISIC_0012548,0.0887662227,0.1119502511
ISIC_0012551,0.0628781036,0.0420634595
ISIC_0012654,0.0480553202,0.0342150956
ISIC_0012656,0.1132696984,0.0139369845
ISIC_0012705,0.2255446435,0.1642762847
ISIC_0012708,0.1451636534,0.0544123496
ISIC_0012722,0.0453773449,0.1107796301
ISIC_0012757,0.0856964809,0.4108902438
ISIC_0012758,0.1718850022,0.0059217962
ISIC_0012786,0.0590726392,0.6179809787
ISIC_0012803,0.0701682221,0.1646410862
ISIC_0012836,0.1066753329,0.0410950559
ISIC_0012837,0.2978572866,0.0409984589
ISIC_0012848,0.1455683508,0.0956909795
ISIC_0012852,0.1158263901,0.1887375570
ISIC_0012903,0.0798527032,0.0665232984
ISIC_0012904,0.0530720356,0.1504354418
ISIC_0012928,0.0701470925,0.2763403624
ISIC_0012941,0.0661483314,0.1472775935
ISIC_0012955,0.0511183939,0.3962453452
ISIC_0012967,0.0802688658,0.2415095196
ISIC_0012974,0.0508667374,0.2324994772
ISIC_0012989,0.1634176487,0.0350917616
ISIC_0013030,0.0439962337,0.1935657271
ISIC_0013035,0.0737729941,0.4073442719
ISIC_0013045,0.1540134587,0.0256640678
ISIC_0013070,0.0987970868,0.0308834423
ISIC_0013072,0.2482456491,0.1264207148
ISIC_0013073,0.1887933267,0.1164610835
ISIC_0013085,0.0374225468,0.1779616195
ISIC_0013109,0.1404901061,0.0555883197
ISIC_0013159,0.1042786758,0.3818407161
ISIC_0013164,0.0880651205,0.0738410343
ISIC_0013169,0.0494343129,0.5930091263
ISIC_0013170,0.1215256514,0.2825378640
ISIC_0013176,0.1051352184,0.0257309897
ISIC_0013191,0.1029584421,0.1449973040
ISIC_0013203,0.0247160138,0.4922274343
ISIC_0013216,0.1469412641,0.0507986938
ISIC_0013226,0.0725615103,0.0903797890
ISIC_0013230,0.0608242175,0.0202720143
ISIC_0013242,0.1967710105,0.0612767302
ISIC_0013269,0.1810737187,0.0345455728
ISIC_0013270,0.1141806762,0.2441600012
ISIC_0013271,0.0457333056,0.5186086232
ISIC_0013277,0.1758438168,0.2013559714
ISIC_0013281,0.1334985148,0.3090948021
ISIC_0013291,0.1338508322,0.0307448204
ISIC_0013319,0.1789441037,0.3558176031
ISIC_0013321,0.1002087534,0.3767000215
ISIC_0013325,0.1033482386,0.0300700199
ISIC_0013374,0.2447993945,0.2107382339
ISIC_0013393,0.0860480761,0.3083909441
ISIC_0013399,0.0738683174,0.0462148494
ISIC_0013411,0.2344741944,0.1319977416
ISIC_0013414,0.1952933943,0.0506045819
ISIC_0013416,0.0665645822,0.0504793610
ISIC_0013455,0.4376270030,0.0365856781
ISIC_0013457,0.1696473980,0.0680362083
ISIC_0013459,0.1196276413,0.0840998721
ISIC_0013465,0.0923151555,0.2338323012
ISIC_0013472,0.2248610745,0.1329855443
ISIC_0013473,0.7501543492,0.0519506822
ISIC_0013511,0.3297961482,0.1670896274
ISIC_0013512,0.1423837954,0.1805028261
ISIC_0013529,0.2489772003,0.0372618098
ISIC_0013565,0.1544570390,0.1701752948
ISIC_0013577,0.4651345012,0.0762844425
ISIC_0013588,0.0941575574,0.1281129043
ISIC_0013600,0.0868408170,0.0215084531
ISIC_0013602,0.1123647581,0.1001030398
ISIC_0013615,1.0000000000,0.0183548699
ISIC_0013617,0.1348349516,0.1242389137
ISIC_0013636,0.3890268666,0.0360154460
ISIC_0013673,0.0326090248,0.4878434251
ISIC_0013678,0.2129649655,0.1364012334
